0 receivedTextFrom 4 1669396692.669253
4 sentTextTo 0 1669396692.687743
0 receivedTextFrom 4 1669396692.689583
0 sentTextTo 3 1669396692.710537
3 receivedTextFrom 0 1669396692.712582
0 sentTextTo 3 1669396692.731668
3 receivedTextFrom 0 1669396692.733455
0 sentTextTo 3 1669396692.752616
3 receivedTextFrom 0 1669396692.754435
3 sentTextTo 2 1669396692.775421
2 receivedTextFrom 3 1669396692.777712
3 sentTextTo 2 1669396692.796477
2 receivedTextFrom 3 1669396692.798334
3 sentTextTo 2 1669396692.81687
2 receivedTextFrom 3 1669396692.8193
3 sentTextTo 0 1669396692.838677
0 receivedTextFrom 3 1669396692.840682
3 sentTextTo 0 1669396692.857595
0 receivedTextFrom 3 1669396692.859341
3 sentTextTo 0 1669396692.878495
0 receivedTextFrom 3 1669396692.880279
3 sentTextTo 2 1669396692.900725
2 receivedTextFrom 3 1669396692.903433
3 sentTextTo 2 1669396692.92195
2 receivedTextFrom 3 1669396692.924111
3 sentTextTo 2 1669396692.940831
2 receivedTextFrom 3 1669396692.942732
0 sentTextTo 3 1669396692.96312
3 receivedTextFrom 0 1669396692.965108
0 sentTextTo 3 1669396692.983895
3 receivedTextFrom 0 1669396692.985724
0 sentTextTo 3 1669396693.004985
3 receivedTextFrom 0 1669396693.006818
2 sentTextTo 0 1669396693.027623
0 receivedTextFrom 2 1669396693.029691
2 sentTextTo 0 1669396693.048572
0 receivedTextFrom 2 1669396693.050409
2 sentTextTo 0 1669396693.069657
0 receivedTextFrom 2 1669396693.071659
3 sentTextTo 4 1669396693.09119
4 receivedTextFrom 3 1669396693.093375
3 sentTextTo 4 1669396693.112018
4 receivedTextFrom 3 1669396693.114189
3 sentTextTo 4 1669396693.132568
4 receivedTextFrom 3 1669396693.134528
1 sentTextTo 3 1669396693.154974
3 receivedTextFrom 1 1669396693.157014
1 sentTextTo 3 1669396693.17595
3 receivedTextFrom 1 1669396693.177715
1 sentTextTo 3 1669396693.195725
3 receivedTextFrom 1 1669396693.19749
2 sentTextTo 2 1669396693.216484
2 receivedTextFrom 2 1669396693.218486
2 sentTextTo 2 1669396693.23956
2 receivedTextFrom 2 1669396693.241313
2 sentTextTo 2 1669396693.262401
2 receivedTextFrom 2 1669396693.264347
1 sentTextTo 4 1669396693.286373
4 receivedTextFrom 1 1669396693.288323
1 sentTextTo 4 1669396693.307489
4 receivedTextFrom 1 1669396693.309216
1 sentTextTo 4 1669396693.327826
4 receivedTextFrom 1 1669396693.329558
3 sentTextTo 3 1669396693.350055
3 receivedTextFrom 3 1669396693.351742
3 sentTextTo 3 1669396693.373014
3 receivedTextFrom 3 1669396693.374752
3 sentTextTo 3 1669396693.395661
3 receivedTextFrom 3 1669396693.397487
2 sentTextTo 0 1669396693.419124
0 receivedTextFrom 2 1669396693.421162
2 sentTextTo 0 1669396693.440528
0 receivedTextFrom 2 1669396693.44319
2 sentTextTo 0 1669396693.461833
0 receivedTextFrom 2 1669396693.465073
0 sentTextTo 1 1669396693.483235
1 receivedTextFrom 0 1669396693.485385
0 sentTextTo 1 1669396693.5041
1 receivedTextFrom 0 1669396693.505925
0 sentTextTo 1 1669396693.525106
1 receivedTextFrom 0 1669396693.527034
1 sentTextTo 3 1669396693.547335
3 receivedTextFrom 1 1669396693.549227
1 sentTextTo 3 1669396693.568485
3 receivedTextFrom 1 1669396693.570502
1 sentTextTo 3 1669396693.58909
3 receivedTextFrom 1 1669396693.590931
3 sentTextTo 0 1669396693.612109
0 receivedTextFrom 3 1669396693.614216
3 sentTextTo 0 1669396693.632359
0 receivedTextFrom 3 1669396693.634233
3 sentTextTo 0 1669396693.653426
0 receivedTextFrom 3 1669396693.655271
2 sentTextTo 3 1669396693.675693
3 receivedTextFrom 2 1669396693.677723
2 sentTextTo 3 1669396693.696633
3 receivedTextFrom 2 1669396693.698443
2 sentTextTo 3 1669396693.717536
3 receivedTextFrom 2 1669396693.719366
4 sentTextTo 0 1669396693.740205
0 receivedTextFrom 4 1669396693.742324
4 sentTextTo 0 1669396693.761185
0 receivedTextFrom 4 1669396693.763164
4 sentTextTo 0 1669396693.782444
0 receivedTextFrom 4 1669396693.784511
3 sentTextTo 4 1669396693.804857
4 receivedTextFrom 3 1669396693.807066
3 sentTextTo 4 1669396693.8244
4 receivedTextFrom 3 1669396693.826322
3 sentTextTo 4 1669396693.845463
4 receivedTextFrom 3 1669396693.84752
1 sentTextTo 0 1669396693.867693
0 receivedTextFrom 1 1669396693.870386
1 sentTextTo 0 1669396693.888783
0 receivedTextFrom 1 1669396693.890632
1 sentTextTo 0 1669396693.907761
0 receivedTextFrom 1 1669396693.909686
4 sentTextTo 3 1669396693.930032
3 receivedTextFrom 4 1669396693.932082
4 sentTextTo 3 1669396693.950518
3 receivedTextFrom 4 1669396693.953236
4 sentTextTo 3 1669396693.971483
3 receivedTextFrom 4 1669396693.973306
3 sentTextTo 1 1669396693.994122
1 receivedTextFrom 3 1669396693.995994
3 sentTextTo 1 1669396694.015183
1 receivedTextFrom 3 1669396694.017385
3 sentTextTo 1 1669396694.036108
